State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,_source_file,_merged_at,Si. No.,Groundnut - Kharif,Groundnut - Rabi,Groundnut - Total,Castorseed - Kharif,Sesamum - Kharif,Nigerseed - Kharif,Soyabean - Kharif,Sunflower - Kharif,Sunflower - Rabi,Sunflower - Total,R & M - Rabi,Linseed - Rabi,Safflower - Rabi,Total Oilseeds - Kharif,Total Oilseeds - Rabi,Total Oilseeds - Total,Sugarcane,Cotton,Jute,Mesta,Jute & Mesta,Sl. No.,Crop,Production (Lakh Tons) - 2023-24,Productivity (Yield in kg/ha) - 2023-24,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Chittor,Madanapalli,Tomato,Other,FAQ,01/11/2025,1400.0,1900.0,1800.0,9ef84268-d588-465a-a308-a864a43d0070.csv,2025-11-01T21:31:01.333103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Chittor,Palamaner,Cluster beans,Cluster Beans,FAQ,01/11/2025,3000.0,5000.0,4000.0,9ef84268-d588-465a-a308-a864a43d0070.csv,2025-11-01T21:31:01.333103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Chittor,Palamaner,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,01/11/2025,2000.0,4000.0,3000.0,9ef84268-d588-465a-a308-a864a43d0070.csv,2025-11-01T21:31:01.333103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Chittor,Tirupati,Banana,Bhushavali(Pacha),Small,01/11/2025,7500.0,10000.0,8500.0,9ef84268-d588-465a-a308-a864a43d0070.csv,2025-11-01T21:31:01.333103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,1st Sort,FAQ,01/11/2025,9000.0,14600.0,12800.0,9ef84268-d588-465a-a308-a864a43d0070.csv,2025-11-01T21:31:01.333103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,Red,FAQ,01/11/2025,10000.0,14800.0,13500.0,9ef84268-d588-465a-a308-a864a43d0070.csv,2025-11-01T21:31:01.333103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,West Godavari,Chintalapudi,Lemon,Lemon,FAQ,01/11/2025,1400.0,1800.0,1600.0,9ef84268-d588-465a-a308-a864a43d0070.csv,2025-11-01T21:31:01.333103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Bottle gourd,Bottle Gourd,FAQ,01/11/2025,1000.0,2800.0,2000.0,9ef84268-d588-465a-a308-a864a43d0070.csv,2025-11-01T21:31:01.333103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,North Goa,Mapusa,Banana,Other,Medium,01/11/2025,2000.0,3500.0,2750.0,9ef84268-d588-465a-a308-a864a43d0070.csv,2025-11-01T21:31:01.333103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,North Goa,Mapusa,Coconut,Coconut,FAQ,01/11/2025,1600.0,2700.0,2150.0,9ef84268-d588-465a-a308-a864a43d0070.csv,2025-11-01T21:31:01.333103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
