state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Chittor,Madanapalli,Tomato,Other,FAQ,01/11/2025,1400,1900,1800
Andhra Pradesh,Chittor,Palamaner,Cluster beans,Cluster Beans,FAQ,01/11/2025,3000,5000,4000
Andhra Pradesh,Chittor,Palamaner,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,01/11/2025,2000,4000,3000
Andhra Pradesh,Chittor,Tirupati,Banana,Bhushavali(Pacha),Small,01/11/2025,7500,10000,8500
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,1st Sort,FAQ,01/11/2025,9000,14600,12800
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,Red,FAQ,01/11/2025,10000,14800,13500
Andhra Pradesh,West Godavari,Chintalapudi,Lemon,Lemon,FAQ,01/11/2025,1400,1800,1600
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Bottle gourd,Bottle Gourd,FAQ,01/11/2025,1000,2800,2000
Goa,North Goa,Mapusa,Banana,Other,Medium,01/11/2025,2000,3500,2750
Goa,North Goa,Mapusa,Coconut,Coconut,FAQ,01/11/2025,1600,2700,2150
Goa,North Goa,Mapusa,Mango,Other,Large,01/11/2025,1500,2000,1750
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,01/11/2025,1500,1500,1500
Goa,North Goa,Mapusa,Pineapple,Pine Apple,Medium,01/11/2025,1500,2000,1750
Gujarat,Amreli,Amreli,Bajra(Pearl Millet/Cumbu),Hybrid,Non-FAQ,01/11/2025,1475,2515,1760
Gujarat,Amreli,Amreli,Foxtail Millet(Navane),Navane Hybrid,FAQ,01/11/2025,1585,2350,2350
Gujarat,Amreli,Amreli,Groundnut,Bold,Non-FAQ,01/11/2025,3280,5250,5000
Gujarat,Amreli,Damnagar,Tomato,Local,Non-FAQ,01/11/2025,1550,2550,2200
Gujarat,Banaskanth,Deesa,Mustard,Other,FAQ,01/11/2025,6205,6290,6250
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Chikoos(Sapota),Other,Medium,01/11/2025,7000,10200,8600
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Orange,Other,Medium,01/11/2025,3500,5100,4300
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Potato,Other,FAQ,01/11/2025,1500,2200,1850
Gujarat,Banaskanth,Dhanera,Groundnut,Other,Non-FAQ,01/11/2025,4500,5785,5185
Gujarat,Banaskanth,Dhanera,"Sesamum(Sesame,Gingelly,Til)",Other,FAQ,01/11/2025,7575,10500,9280
Gujarat,Banaskanth,Thara,Groundnut,Balli/Habbu,Non-FAQ,01/11/2025,4700,5570,5135
Gujarat,Banaskanth,Thara(Shihori),Bajra(Pearl Millet/Cumbu),Other,Non-FAQ,01/11/2025,1700,2600,2150
Gujarat,Banaskanth,Tharad(Rah),Bajra(Pearl Millet/Cumbu),Deshi,FAQ,01/11/2025,3000,3250,3125
Gujarat,Banaskanth,Vadgam,Bajra(Pearl Millet/Cumbu),Other,FAQ,01/11/2025,1900,2175,2175
Gujarat,Banaskanth,Vadgam,Groundnut,Other,FAQ,01/11/2025,4575,5505,5335
Gujarat,Banaskanth,Vav,Ajwan,Other,FAQ,01/11/2025,5000,9250,8000
Gujarat,Banaskanth,Vav,Groundnut,Other,FAQ,01/11/2025,4555,5000,4950
Gujarat,Bharuch,Ankleshwar,Brinjal,Brinjal,FAQ,01/11/2025,3500,6500,5000
Gujarat,Bharuch,Ankleshwar,Cucumbar(Kheera),Cucumbar,FAQ,01/11/2025,2000,4000,3000
Gujarat,Bharuch,Ankleshwar,Ginger(Green),Green Ginger,FAQ,01/11/2025,4000,6000,5000
Gujarat,Bharuch,Ankleshwar,Methi(Leaves),Methi,FAQ,01/11/2025,3500,5000,4500
Gujarat,Bharuch,Ankleshwar,Potato,Potato,FAQ,01/11/2025,600,2800,1500
Gujarat,Bharuch,Bharuch,Potato,Other,Non-FAQ,01/11/2025,1000,2700,2000
Gujarat,Bharuch,Jambusar,Cotton,Other,FAQ,01/11/2025,5800,6600,6200
Gujarat,Bharuch,Jambusar(Kaavi),Castor Seed,Other,FAQ,01/11/2025,5400,5800,5600
Gujarat,Bharuch,Jambusar(Kaavi),Maize,Other,FAQ,01/11/2025,1700,2100,1900
Gujarat,Dahod,Dahod,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,01/11/2025,5600,5625,5615
Gujarat,Dahod,Dahod,Wheat,Lokwan,FAQ,01/11/2025,2750,2850,2800
Gujarat,Dahod,Dahod,Wheat,Wheat,FAQ,01/11/2025,2620,2630,2625
Gujarat,Dahod,Dahod(Veg. Market),Coriander(Leaves),Coriander,FAQ,01/11/2025,500,6000,4000
Gujarat,Dahod,Dahod(Veg. Market),Lemon,Other,FAQ,01/11/2025,2000,4000,3000
Gujarat,Dahod,Devgadhbaria,Paddy(Dhan)(Common),Common,Non-FAQ,01/11/2025,1300,1350,1325
Gujarat,Devbhumi Dwarka,Bhanvad,Groundnut,G20,Non-FAQ,01/11/2025,4500,5500,5000
Gujarat,Gandhinagar,Mansa,Wheat,Medium,FAQ,01/11/2025,2425,2800,2675
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Cucumbar(Kheera),Other,FAQ,01/11/2025,2500,2500,2500
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Lemon,Other,FAQ,01/11/2025,2000,2000,2000
Gujarat,Gir Somnath,Talalagir,Guar,Other,FAQ,01/11/2025,5000,7400,6000
Gujarat,Jamnagar,Jam Jodhpur,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),FAQ,01/11/2025,5500,6575,6000
Gujarat,Jamnagar,Jam Jodhpur,Corriander seed,Coriander Seed,FAQ,01/11/2025,7000,7575,7400
Gujarat,Jamnagar,Jam Jodhpur,Wheat,Lok-1,FAQ,01/11/2025,2450,2620,2515
Gujarat,Jamnagar,Jamnagar,Green Gram (Moong)(Whole),Other,FAQ,01/11/2025,4500,7750,6125
Gujarat,Junagarh,Bhesan,Groundnut,Other,FAQ,01/11/2025,3500,5000,4500
Gujarat,Junagarh,Junagadh,Groundnut,Bold,FAQ,01/11/2025,3500,5450,4250
Gujarat,Junagarh,Junagadh,Wheat,Sharbati,FAQ,01/11/2025,2450,2650,2550
Gujarat,Junagarh,Visavadar,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,01/11/2025,10705,19205,14955
Gujarat,Junagarh,Visavadar,Soyabean,Black,FAQ,01/11/2025,3855,4245,4050
Gujarat,Kachchh,K.Mandvi,Cauliflower,African Sarson,FAQ,01/11/2025,1000,2500,1750
Gujarat,Kheda,Kapadvanj,Bottle gourd,Other,FAQ,01/11/2025,1000,1500,1250
Gujarat,Kheda,Nadiad,Potato,Other,FAQ,01/11/2025,1400,2000,1700
Gujarat,Kheda,Nadiad,Tomato,Other,Non-FAQ,01/11/2025,1800,2000,1900
Gujarat,Kheda,Nadiyad(Chaklasi),Potato,Potato,FAQ,01/11/2025,1000,1300,1100
Gujarat,Kheda,Nadiyad(Piplag),Bottle gourd,Bottle Gourd,FAQ,01/11/2025,1200,1400,1250
Gujarat,Kheda,Nadiyad(Piplag),Cauliflower,Cauliflower,FAQ,01/11/2025,2100,2350,2200
Gujarat,Kheda,Nadiyad(Piplag),Cowpea(Veg),Cowpea (Veg),FAQ,01/11/2025,1500,2000,1900
Gujarat,Kheda,Nadiyad(Piplag),Onion,Onion,Non-FAQ,01/11/2025,1150,1250,1200
Gujarat,Kheda,Nadiyad(Piplag),Pegeon Pea (Arhar Fali),Pigeon Pea (Arhar Fali),FAQ,01/11/2025,8500,9000,8700
Gujarat,Kheda,Nadiyad(Piplag),Potato,Potato,Non-FAQ,01/11/2025,800,900,850
Gujarat,Kheda,Nadiyad(Piplag),Tinda,Tinda,FAQ,01/11/2025,1500,2000,1850
Gujarat,Kheda,Nadiyad(Piplag),Tomato,Tomato,Non-FAQ,01/11/2025,1700,1800,1750
Gujarat,Mehsana,Kadi,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,01/11/2025,5000,7105,6800
Gujarat,Mehsana,Kadi,Kulthi(Horse Gram),Horse gram (Whole),FAQ,01/11/2025,4350,5135,5000
Gujarat,Mehsana,Mehsana,Mustard,Mustard,FAQ,01/11/2025,6200,6200,6200
Gujarat,Mehsana,Mehsana(Jornang),Castor Seed,Castor seed,FAQ,01/11/2025,6530,6570,6550
Gujarat,Mehsana,Visnagar,Bajra(Pearl Millet/Cumbu),Other,FAQ,01/11/2025,1800,2460,2130
Gujarat,Mehsana,Visnagar,Wheat,Other,FAQ,01/11/2025,2400,2645,2522
Gujarat,Morbi,Halvad,Guar Seed(Cluster Beans Seed),Other,FAQ,01/11/2025,4250,4350,4275
Gujarat,Morbi,Halvad,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,01/11/2025,6675,9440,8250
Gujarat,Morbi,Morbi,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,01/11/2025,4600,5330,4965
Gujarat,Morbi,Morbi,Bitter gourd,Other,FAQ,01/11/2025,2000,3000,2500
Gujarat,Morbi,Morbi,Cummin Seed(Jeera),Cummin Seed(Jeera),FAQ,01/11/2025,12500,18000,15250
Gujarat,Navsari,Bilimora,Onion,Nasik,FAQ,01/11/2025,800,2000,1400
Gujarat,Navsari,Navsari,Bhindi(Ladies Finger),Bhindi,FAQ,01/11/2025,4500,5000,4750
Gujarat,Navsari,Navsari,Brinjal,Arkasheela Mattigulla,FAQ,01/11/2025,4000,5000,4500
Gujarat,Navsari,Navsari,Cabbage,Cabbage,FAQ,01/11/2025,1500,1750,1625
Gujarat,Navsari,Navsari,Potato,(Red Nanital),FAQ,01/11/2025,1200,2250,1725
Gujarat,Panchmahals,Gogamba,Arhar (Tur/Red Gram)(Whole),Other,FAQ,01/11/2025,4250,4750,4500
Gujarat,Panchmahals,Gogamba(Similiya),Arhar (Tur/Red Gram)(Whole),Other,FAQ,01/11/2025,4000,4500,4200
Gujarat,Patan,Radhanpur,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,01/11/2025,4000,6755,5750
Gujarat,Patan,Radhanpur,Wheat,Medium Fine,FAQ,01/11/2025,2475,2720,2650
Gujarat,Patan,Siddhpur,Castor Seed,Castor seed,FAQ,01/11/2025,6400,6620,6510
Gujarat,Patan,Siddhpur,Cotton,H.Y.4 (Unginned),FAQ,01/11/2025,6305,7555,6930
Gujarat,Patan,Siddhpur,Guar Seed(Cluster Beans Seed),Split,FAQ,01/11/2025,3750,4000,3875
Gujarat,Porbandar,Porbandar,Bhindi(Ladies Finger),Bhindi,FAQ,01/11/2025,1500,2500,2000
Gujarat,Porbandar,Porbandar,Guar,Gwar,FAQ,01/11/2025,3000,5000,4000
Gujarat,Porbandar,Porbandar,Guava,Guava,Large,01/11/2025,2500,6000,4500
Gujarat,Porbandar,Porbandar,Orange,Darjeeling,Large,01/11/2025,3000,4000,3500
Gujarat,Rajkot,Gondal(Veg.market Gondal),Cabbage,Cabbage,FAQ,01/11/2025,100,1000,600
Gujarat,Rajkot,Gondal(Veg.market Gondal),Guava,Guava,Medium,01/11/2025,500,4000,2250
Gujarat,Rajkot,Gondal(Veg.market Gondal),Papaya,Other,Medium,01/11/2025,250,1000,625
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Soyabean,Soyabeen,FAQ,01/11/2025,3950,4380,4300
Gujarat,Rajkot,Rajkot,Corriander seed,"A-1, Green",FAQ,01/11/2025,6900,7700,7450
Gujarat,Rajkot,Rajkot,Green Gram (Moong)(Whole),Green (Whole),FAQ,01/11/2025,4750,7820,5250
Gujarat,Rajkot,Rajkot,Mustard,Mustard,FAQ,01/11/2025,6000,6355,6300
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Brinjal,Brinjal,FAQ,01/11/2025,2710,7265,4985
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Cluster beans,Cluster Beans,FAQ,01/11/2025,3255,7560,5405
