state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,source_dataset,resource_id,source_url
Andhra Pradesh,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,01/11/2025,3000,3500,3500,Unknown,,
Andhra Pradesh,Chittor,Madanapalli,Tomato,Local,FAQ,01/11/2025,2000,2500,2300,Unknown,,
Andhra Pradesh,Chittor,Palamaner,Brinjal,Brinjal,FAQ,01/11/2025,2000,4000,3000,Unknown,,
Andhra Pradesh,Chittor,Palamaner,Cluster beans,Cluster Beans,FAQ,01/11/2025,3000,5000,4000,Unknown,,
Andhra Pradesh,Chittor,Palamaner,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,01/11/2025,2000,4000,3000,Unknown,,
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Chakkarakeli(White),Large,01/11/2025,2700,3800,3500,Unknown,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cauliflower,Cauliflower,FAQ,01/11/2025,1500,2500,2000,Unknown,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),Other,FAQ,01/11/2025,1200,2500,2000,Unknown,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,01/11/2025,800,2000,1600,Unknown,,
Goa,North Goa,Mapusa,Apple,Apple,Medium,01/11/2025,10000,10000,10000,Unknown,,
Goa,North Goa,Mapusa,Green Chilli,Green Chilly,FAQ,01/11/2025,5200,5200,5200,Unknown,,
Goa,North Goa,Mapusa,Mango,Other,Large,01/11/2025,1500,2000,1750,Unknown,,
Gujarat,Amreli,Damnagar,Brinjal,Other,FAQ,01/11/2025,7050,8050,7500,Unknown,,
Gujarat,Amreli,Damnagar,Cauliflower,Cauliflower,FAQ,01/11/2025,3250,4050,3800,Unknown,,
Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,FAQ,01/11/2025,15000,18500,17000,Unknown,,
Gujarat,Amreli,Damnagar,Ginger(Green),Green Ginger,FAQ,01/11/2025,6250,7050,6700,Unknown,,
Gujarat,Amreli,Damnagar,Green Chilli,Green Chilly,FAQ,01/11/2025,3050,4050,3400,Unknown,,
Gujarat,Amreli,Damnagar,Guar,Gwar,FAQ,01/11/2025,7050,8050,7500,Unknown,,
Gujarat,Bharuch,Jambusar,Bajra(Pearl Millet/Cumbu),Other,FAQ,01/11/2025,2400,2800,2600,Unknown,,
Gujarat,Bharuch,Jambusar,Wheat,Other,FAQ,01/11/2025,2700,3300,3000,Unknown,,
Gujarat,Dahod,Dahod,Arhar (Tur/Red Gram)(Whole),Arhar (Whole),Non-FAQ,01/11/2025,5450,5700,5600,Unknown,,
Gujarat,Dahod,Dahod,Arhar (Tur/Red Gram)(Whole),Other,Non-FAQ,01/11/2025,5400,5800,5700,Unknown,,
Gujarat,Dahod,Dahod,Wheat,Lokwan,FAQ,01/11/2025,2750,2850,2800,Unknown,,
Gujarat,Dahod,Dahod(Veg. Market),Bottle gourd,Bottle Gourd,FAQ,01/11/2025,300,1000,800,Unknown,,
Gujarat,Dahod,Dahod(Veg. Market),Brinjal,Brinjal,FAQ,01/11/2025,500,4000,2500,Unknown,,
Gujarat,Dahod,Dahod(Veg. Market),Lemon,Other,FAQ,01/11/2025,2000,4000,3000,Unknown,,
Gujarat,Dahod,Dahod(Veg. Market),Pegeon Pea (Arhar Fali),Other,FAQ,01/11/2025,4500,4500,4500,Unknown,,
Gujarat,Dahod,Davgadbaria(Piplod),Paddy(Dhan)(Common),Common,Non-FAQ,01/11/2025,1300,1335,1320,Unknown,,
Gujarat,Kachchh,K.Mandvi,Bhindi(Ladies Finger),Bhindi,FAQ,01/11/2025,3000,3500,3250,Unknown,,
Gujarat,Kachchh,K.Mandvi,Bottle gourd,Bottle Gourd,FAQ,01/11/2025,500,1000,750,Unknown,,
Gujarat,Mehsana,Visnagar,Mustard,Other,FAQ,01/11/2025,6430,6430,6430,Unknown,,
Gujarat,Navsari,Navsari,Banana,Amruthapani,Medium,01/11/2025,750,1750,1250,Unknown,,
Gujarat,Navsari,Navsari,Cowpea(Veg),Cowpea (Veg),FAQ,01/11/2025,3000,4500,3750,Unknown,,
Gujarat,Navsari,Navsari,Green Chilli,Green Chilly,FAQ,01/11/2025,2000,3000,2500,Unknown,,
Gujarat,Navsari,Navsari,Potato,(Red Nanital),FAQ,01/11/2025,1200,2250,1725,Unknown,,
Gujarat,Patan,Sami,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,01/11/2025,4750,6500,5250,Unknown,,
Gujarat,Patan,Sami,Isabgul (Psyllium),Isabgul (Psyllium),FAQ,01/11/2025,8500,9750,9000,Unknown,,
Gujarat,Rajkot,Gondal(Veg.market Gondal),Apple,Apple,Medium,01/11/2025,2000,6000,4000,Unknown,,
Gujarat,Rajkot,Gondal(Veg.market Gondal),Cucumbar(Kheera),Cucumbar,FAQ,01/11/2025,1000,6000,3500,Unknown,,
Gujarat,Rajkot,Gondal(Veg.market Gondal),Guar,Gwar,FAQ,01/11/2025,3000,7000,5000,Unknown,,
Gujarat,Rajkot,Gondal(Veg.market Gondal),Potato,Potato,FAQ,01/11/2025,360,440,400,Unknown,,
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Garlic,Garlic,FAQ,01/11/2025,1755,3355,2605,Unknown,,
Gujarat,Rajkot,Rajkot,Wheat,Sharbati,FAQ,01/11/2025,2630,3110,2740,Unknown,,
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Cluster beans,Cluster Beans,FAQ,01/11/2025,3255,7560,5405,Unknown,,
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Coriander(Leaves),Coriander,FAQ,01/11/2025,2180,4105,3140,Unknown,,
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Lemon,Lemon,FAQ,01/11/2025,1645,4105,2875,Unknown,,
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Onion,Onion,FAQ,01/11/2025,205,1305,850,Unknown,,
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Tomato,Tomato,FAQ,01/11/2025,1635,2555,2095,Unknown,,
Gujarat,Rajkot,Upleta,Castor Seed,Castor seed,FAQ,01/11/2025,6250,6375,6325,Unknown,,
Gujarat,Rajkot,Upleta,Cotton,Other,Non-FAQ,01/11/2025,6000,7000,6800,Unknown,,
Gujarat,Rajkot,Upleta,Groundnut,Other,Non-FAQ,01/11/2025,2850,4600,4300,Unknown,,
Gujarat,Sabarkantha,Modasa,Wheat,Lokwan Gujrat,FAQ,01/11/2025,2475,2745,2745,Unknown,,
Gujarat,Surat,Songadh(Umrada),Bhindi(Ladies Finger),Bhindi,FAQ,01/11/2025,4500,5500,5000,Unknown,,
Gujarat,Surat,Songadh(Umrada),Guar,Guaar,FAQ,01/11/2025,5000,6500,5500,Unknown,,
Gujarat,Surat,Surat,Banana - Green,Other,FAQ,01/11/2025,600,1500,1050,Unknown,,
Gujarat,Surat,Surat,Beetroot,Other,FAQ,01/11/2025,2000,3000,2500,Unknown,,
Gujarat,Surat,Surat,Bhindi(Ladies Finger),Other,FAQ,01/11/2025,3000,5500,4250,Unknown,,
Gujarat,Surat,Surat,Cluster beans,Other,FAQ,01/11/2025,1000,3000,2000,Unknown,,
Gujarat,Surat,Surat,Ginger(Green),Other,FAQ,01/11/2025,4000,6000,5000,Unknown,,
Gujarat,Surat,Surat,Mango (Raw-Ripe),Other,FAQ,01/11/2025,3000,5000,4000,Unknown,,
Gujarat,Surat,Surat,Pegeon Pea (Arhar Fali),Other,FAQ,01/11/2025,4000,14000,9000,Unknown,,
Gujarat,Surat,Surat,Pointed gourd (Parval),Other,FAQ,01/11/2025,2500,4000,3250,Unknown,,
Gujarat,Surat,Surat,Surat Beans (Papadi),Other,FAQ,01/11/2025,5000,12000,8500,Unknown,,
Gujarat,Surat,Surat,Sweet Potato,Other,FAQ,01/11/2025,2000,3000,2500,Unknown,,
Gujarat,Surat,Vyra,Paddy(Dhan)(Common),Common,Non-FAQ,01/11/2025,1850,1900,1875,Unknown,,
Gujarat,Surendranagar,Dhragradhra,Cotton,RCH-2,FAQ,01/11/2025,5105,7375,7100,Unknown,,
Gujarat,Surendranagar,Dhragradhra,Groundnut,M-37,FAQ,01/11/2025,4670,5305,5025,Unknown,,
Gujarat,Surendranagar,Vadhvan,Banana,Other,Medium,01/11/2025,1500,2000,1750,Unknown,,
Gujarat,Surendranagar,Vadhvan,Bhindi(Ladies Finger),Bhindi,FAQ,01/11/2025,2000,2500,2250,Unknown,,
Gujarat,Surendranagar,Vadhvan,Bottle gourd,Bottle Gourd,FAQ,01/11/2025,500,750,625,Unknown,,
Gujarat,Surendranagar,Vadhvan,Elephant Yam (Suran),Elephant Yam (Suran),FAQ,01/11/2025,4000,4500,4250,Unknown,,
Gujarat,Vadodara(Baroda),Padra,Bhindi(Ladies Finger),Other,FAQ,01/11/2025,2500,3750,3150,Unknown,,
Gujarat,Vadodara(Baroda),Padra,Bitter gourd,Other,FAQ,01/11/2025,1000,2000,1500,Unknown,,
Gujarat,Vadodara(Baroda),Padra,Cowpea(Veg),Other,FAQ,01/11/2025,3500,4000,3750,Unknown,,
Gujarat,Vadodara(Baroda),Padra,Little gourd (Kundru),Other,FAQ,01/11/2025,750,1400,1100,Unknown,,
Gujarat,Vadodara(Baroda),Padra,Onion,Other,FAQ,01/11/2025,1250,1750,1500,Unknown,,
Gujarat,Vadodara(Baroda),Padra,Potato,Other,FAQ,01/11/2025,1500,2800,2200,Unknown,,
Gujarat,Vadodara(Baroda),Padra,Tomato,Other,FAQ,01/11/2025,1000,1250,1125,Unknown,,
Haryana,Bhiwani,Bhiwani,Banana,Medium,Large,01/11/2025,5470,6104,5870,Unknown,,
Haryana,Bhiwani,Bhiwani,Cauliflower,Other,FAQ,01/11/2025,2104,2568,2360,Unknown,,
Haryana,Bhiwani,Bhiwani,Guava,Guava,Large,01/11/2025,2450,3255,2870,Unknown,,
Haryana,Gurgaon,Gurgaon,Brinjal,Brinjal,FAQ,01/11/2025,1000,2000,1500,Unknown,,
Haryana,Hissar,Hansi,Guava,Other,Medium,01/11/2025,4000,5000,4500,Unknown,,
Haryana,Hissar,Hansi,Mousambi(Sweet Lime),Other,Medium,01/11/2025,3000,5000,4000,Unknown,,
Haryana,Hissar,Hansi,Pomegranate,Other,Medium,01/11/2025,8000,14000,10000,Unknown,,
Haryana,Hissar,Hansi,Turnip,Organic,FAQ,01/11/2025,2000,2000,2000,Unknown,,
Haryana,Hissar,Uklana,Onion,Onion,FAQ,01/11/2025,1400,1400,1400,Unknown,,
Haryana,Kurukshetra,Pehowa,Onion,Other,FAQ,01/11/2025,2300,2360,2350,Unknown,,
Haryana,Kurukshetra,Pehowa,Raddish,Other,FAQ,01/11/2025,400,600,500,Unknown,,
Haryana,Kurukshetra,Pehowa,Tomato,Other,FAQ,01/11/2025,1500,1650,1600,Unknown,,
Haryana,Mahendragarh-Narnaul,Narnaul,Apple,Apple,Medium,01/11/2025,4000,6000,5000,Unknown,,
Haryana,Mahendragarh-Narnaul,Narnaul,Brinjal,Brinjal,FAQ,01/11/2025,1500,2000,2000,Unknown,,
Haryana,Mahendragarh-Narnaul,Narnaul,Methi(Leaves),Methi,FAQ,01/11/2025,1500,2000,2000,Unknown,,
Haryana,Mahendragarh-Narnaul,Narnaul,Tomato,Tomato,FAQ,01/11/2025,1500,2000,2000,Unknown,,
Haryana,Mahendragarh-Narnaul,Narnaul,Tomato,Tomato,Non-FAQ,01/11/2025,1000,1000,1000,Unknown,,
Haryana,Panipat,Panipat,Bottle gourd,Bottle Gourd,FAQ,01/11/2025,500,1500,1000,Unknown,,
Haryana,Panipat,Panipat,Cabbage,Other,FAQ,01/11/2025,600,2000,1200,Unknown,,
Haryana,Panipat,Panipat,Raddish,Other,FAQ,01/11/2025,600,1000,800,Unknown,,
Haryana,Panipat,Panipat,Tomato,Other,FAQ,01/11/2025,1000,3000,2000,Unknown,,
Haryana,Rewari,Kosli,Brinjal,Other,FAQ,01/11/2025,1000,1000,1000,Unknown,,
Haryana,Rewari,Kosli,Tomato,Other,FAQ,01/11/2025,2500,2500,2500,Unknown,,
Haryana,Rewari,Rewari,Banana,Other,Medium,01/11/2025,2000,3200,2600,Unknown,,
Haryana,Rewari,Rewari,Onion,Medium,Non-FAQ,01/11/2025,1000,2200,1600,Unknown,,
Haryana,Sonipat,Ganaur,Bhindi(Ladies Finger),Bhindi,FAQ,01/11/2025,2500,3000,2800,Unknown,,
Haryana,Sonipat,Ganaur,Cucumbar(Kheera),Cucumbar,FAQ,01/11/2025,1200,1500,1400,Unknown,,
Haryana,Sonipat,Ganaur,Mousambi(Sweet Lime),Mousambi,Medium,01/11/2025,2500,3000,2800,Unknown,,
Haryana,Sonipat,Ganaur,Onion,Onion,FAQ,01/11/2025,1500,1700,1600,Unknown,,
Haryana,Sonipat,Ganaur,Pumpkin,Pumpkin,FAQ,01/11/2025,1200,1500,1400,Unknown,,
Haryana,Sonipat,Gohana,Peas cod,Other,FAQ,01/11/2025,10000,16000,12000,Unknown,,
Haryana,Yamuna Nagar,Sadhaura,Potato,Other,FAQ,01/11/2025,800,1000,900,Unknown,,
Himachal Pradesh,Bilaspur,Bilaspur,Apple,Kullu Royal Delicious,Medium,01/11/2025,5000,15000,9000,Unknown,,
Himachal Pradesh,Bilaspur,Bilaspur,Brinjal,Round,FAQ,01/11/2025,2500,3200,3000,Unknown,,
Himachal Pradesh,Bilaspur,Bilaspur,Capsicum,Other,FAQ,01/11/2025,5000,8500,6500,Unknown,,
Himachal Pradesh,Bilaspur,Bilaspur,Colacasia,Other,FAQ,01/11/2025,3000,4200,3500,Unknown,,
Himachal Pradesh,Bilaspur,Bilaspur,Cucumbar(Kheera),Other,FAQ,01/11/2025,2500,3200,3000,Unknown,,
Himachal Pradesh,Bilaspur,Bilaspur,Lemon,Other,FAQ,01/11/2025,2000,4000,3000,Unknown,,
Himachal Pradesh,Bilaspur,Bilaspur,Onion,Other,FAQ,01/11/2025,1000,2000,1800,Unknown,,
Himachal Pradesh,Bilaspur,Bilaspur,Pumpkin,Pumpkin,FAQ,01/11/2025,2000,2500,2200,Unknown,,
Himachal Pradesh,Chamba,Chamba,Apple,Royal Delicious,Medium,01/11/2025,7000,8000,7500,Unknown,,
Himachal Pradesh,Chamba,Chamba,Banana,Other,Medium,01/11/2025,4500,5000,4750,Unknown,,
Himachal Pradesh,Chamba,Chamba,Bhindi(Ladies Finger),Bhindi,FAQ,01/11/2025,5000,5500,5250,Unknown,,
Himachal Pradesh,Chamba,Chamba,Cabbage,Other,FAQ,01/11/2025,3500,4000,3750,Unknown,,
Himachal Pradesh,Chamba,Chamba,Coriander(Leaves),Other,FAQ,01/11/2025,7000,8000,7500,Unknown,,
Himachal Pradesh,Chamba,Chamba,Papaya,Other,Medium,01/11/2025,5000,5500,5250,Unknown,,
Himachal Pradesh,Chamba,Chamba,Pomegranate,Other,Medium,01/11/2025,10000,12000,11000,Unknown,,
Himachal Pradesh,Kangra,Dharamshala,Bhindi(Ladies Finger),Bhindi,FAQ,01/11/2025,3500,3800,3650,Unknown,,
Himachal Pradesh,Kangra,Dharamshala,Bitter gourd,Other,FAQ,01/11/2025,4500,5000,4750,Unknown,,
Himachal Pradesh,Kangra,Dharamshala,Cabbage,Other,FAQ,01/11/2025,3200,3600,3400,Unknown,,
Himachal Pradesh,Kangra,Dharamshala,Cucumbar(Kheera),Other,FAQ,01/11/2025,2400,4000,3200,Unknown,,
Himachal Pradesh,Kangra,Dharamshala,French Beans (Frasbean),Other,FAQ,01/11/2025,8000,8500,8250,Unknown,,
Himachal Pradesh,Kangra,Dharamshala,Papaya,Other,Medium,01/11/2025,4500,4800,4650,Unknown,,
Himachal Pradesh,Kangra,Dharamshala,Potato,Other,FAQ,01/11/2025,1800,2600,2200,Unknown,,
Himachal Pradesh,Kangra,Jwalaji,Cauliflower,African Sarson,FAQ,01/11/2025,4500,5000,4800,Unknown,,
Himachal Pradesh,Kangra,Kangra,Cabbage,Other,FAQ,01/11/2025,3500,4000,3700,Unknown,,
Himachal Pradesh,Kangra,Kangra,Cauliflower,Other,FAQ,01/11/2025,4500,6500,5000,Unknown,,
Himachal Pradesh,Kangra,Kangra,Cucumbar(Kheera),Other,FAQ,01/11/2025,3500,4000,3700,Unknown,,
Himachal Pradesh,Kangra,Kangra,French Beans (Frasbean),Other,FAQ,01/11/2025,8500,9000,8700,Unknown,,
Himachal Pradesh,Kangra,Kangra,Lemon,Other,FAQ,01/11/2025,5000,6000,5500,Unknown,,
Himachal Pradesh,Kangra,Kangra,Mousambi(Sweet Lime),Other,Medium,01/11/2025,5000,6000,5500,Unknown,,
Himachal Pradesh,Kangra,Kangra,Tinda,Other,FAQ,01/11/2025,6000,6500,6200,Unknown,,
Himachal Pradesh,Kangra,Kangra(Baijnath),Brinjal,Brinjal,FAQ,01/11/2025,2500,2800,2600,Unknown,,
Himachal Pradesh,Kangra,Kangra(Baijnath),Lemon,Lemon,FAQ,01/11/2025,5000,5000,5000,Unknown,,
Himachal Pradesh,Kangra,Kangra(Baijnath),Pineapple,Other,Medium,01/11/2025,4000,4200,4100,Unknown,,
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Bhindi(Ladies Finger),Bhindi,FAQ,01/11/2025,3800,4500,4200,Unknown,,
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Cauliflower,Cauliflower,FAQ,01/11/2025,5500,6500,6000,Unknown,,
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Indian Colza(Sarson),Indian Colza(Sarson),FAQ,01/11/2025,2200,3000,2600,Unknown,,
