state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,source_dataset,resource_id,source_url,_si__no_,groundnut___kharif,groundnut___rabi,groundnut___total,castorseed___kharif,sesamum___kharif,nigerseed___kharif,soyabean___kharif,sunflower___kharif,sunflower___rabi,sunflower___total,r___m___rabi,linseed___rabi,safflower___rabi,total_oilseeds___kharif,total_oilseeds___rabi,total_oilseeds___total,sugarcane,cotton,jute,mesta,jute___mesta,sl__no_,crop,production__lakh_tons____2023_24,productivity__yield_in_kg_ha____2023_24
Andhra Pradesh,Anantapur,Anantapur,Mousambi(Sweet Lime),Mousambi,Medium,01/11/2025,800,1500,1000,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Chittor,Palamaner,Brinjal,Brinjal,FAQ,01/11/2025,2000,4000,3000,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Chittor,Palamaner,Green Chilli,Green Chilly,FAQ,01/11/2025,1500,3500,2500,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Cuddapah,Cuddapah,Groundnut,Local,Non-FAQ,01/11/2025,4699,5299,4799,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Bhushavali(Pacha),Large,01/11/2025,2200,2800,2600,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Chakkarakeli(Red),Large,01/11/2025,2600,3500,2900,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Desi(Bontha),Large,01/11/2025,2400,2900,2700,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Krishna,Tiruvuru,Cotton,Bunny,Non-FAQ,01/11/2025,7500,7700,7600,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Kurnool,Nandyal,Paddy(Dhan)(Common),Sona Mahsuri,FAQ,01/11/2025,2500,2500,2500,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,West Godavari,Denduluru,Lime,Lime,Medium,01/11/2025,1200,2600,1800,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bihar,Bhojpur,Piro,Potato,Jyoti,FAQ,01/11/2025,2350,2370,2360,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Ginger(Green),Other,FAQ,01/11/2025,2000,3500,3000,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Onion,Other,FAQ,01/11/2025,700,1500,1100,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,01/11/2025,800,2000,1600,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Ahmedabad,Dhandhuka,Cotton,Shanker 6 (B) 30mm FIne,FAQ,01/11/2025,6700,7500,7200,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Amreli,Bagasara,Bengal Gram(Gram)(Whole),Average (Whole),Non-FAQ,01/11/2025,4000,5400,4700,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Amreli,Bagasara,"Sesamum(Sesame,Gingelly,Til)",White,Non-FAQ,01/11/2025,7450,9005,8227,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,FAQ,01/11/2025,15000,18500,17000,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Amreli,Damnagar,Green Chilli,Green Chilly,FAQ,01/11/2025,3050,4050,3400,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Amreli,Damnagar,Lemon,Lemon,FAQ,01/11/2025,1850,2550,2200,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Anand,Borsad,Bajra(Pearl Millet/Cumbu),Other,FAQ,01/11/2025,2250,2450,2350,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskanth,Deesa(Bhildi),Bajra(Pearl Millet/Cumbu),Other,FAQ,01/11/2025,1930,2950,2555,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Ginger(Green),Other,FAQ,01/11/2025,6000,6250,6125,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Guar,Other,FAQ,01/11/2025,2500,3150,2825,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Lemon,Other,FAQ,01/11/2025,2000,2750,2375,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskanth,Dhanera,Cummin Seed(Jeera),Other,FAQ,01/11/2025,17900,18180,18060,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskanth,Dhanera,Green Gram (Moong)(Whole),Other,Non-FAQ,01/11/2025,5655,5955,5845,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskanth,Dhanera,Groundnut,Other,Non-FAQ,01/11/2025,4500,5785,5185,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskanth,Dhanera,Guar Seed(Cluster Beans Seed),Other,FAQ,01/11/2025,4355,4595,4500,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskanth,Lakhani,Groundnut,Other,FAQ,01/11/2025,4500,5705,5102,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskanth,Thara(Shihori),Bajra(Pearl Millet/Cumbu),Other,Non-FAQ,01/11/2025,1700,2600,2150,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskanth,Thara(Shihori),Cotton,RCH-2,FAQ,01/11/2025,6825,7205,7015,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskanth,Thara(Shihori),Cummin Seed(Jeera),Bold,FAQ,01/11/2025,17500,17900,17700,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskanth,Tharad,Cummin Seed(Jeera),Other,FAQ,01/11/2025,13000,19500,16250,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskanth,Vadgam,Groundnut,Other,FAQ,01/11/2025,4575,5505,5335,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskanth,Vav,Castor Seed,Other,FAQ,01/11/2025,6570,6570,6570,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Banaskanth,Vav,Cummin Seed(Jeera),Other,FAQ,01/11/2025,15000,19180,18000,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,Bharuch,Ankleshwar,Bitter gourd,Bitter Gourd,FAQ,01/11/2025,2000,3500,3000,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
