State,District,Date,Year,Month,Avg_rainfall,Agency_name
Assam,Marigaon,2018-11-26,2018,11,0,"NRSC VIC MODEL"
Assam,Marigaon,2018-12-06,2018,12,0,"NRSC VIC MODEL"
Assam,Marigaon,2018-12-08,2018,12,0,"NRSC VIC MODEL"
Assam,Marigaon,2018-12-15,2018,12,0,"NRSC VIC MODEL"
Assam,Marigaon,2018-12-16,2018,12,0,"NRSC VIC MODEL"
Assam,Marigaon,2018-12-17,2018,12,3.570983922,"NRSC VIC MODEL"
Assam,Marigaon,2018-12-28,2018,12,0.043095729,"NRSC VIC MODEL"
Assam,Nagaon,2018-08-05,2018,08,13.73860556,"NRSC VIC MODEL"
Assam,Nagaon,2018-08-07,2018,08,34.46436685,"NRSC VIC MODEL"
Assam,Nagaon,2018-08-10,2018,08,1.229609488,"NRSC VIC MODEL"
Assam,Nagaon,2018-08-12,2018,08,19.5210911,"NRSC VIC MODEL"
Assam,Nagaon,2018-08-20,2018,08,16.74648918,"NRSC VIC MODEL"
Assam,Nagaon,2018-08-19,2018,08,7.006291951,"NRSC VIC MODEL"
Assam,Nagaon,2018-08-22,2018,08,6.789754451,"NRSC VIC MODEL"
Assam,Nagaon,2018-08-26,2018,08,3.055724172,"NRSC VIC MODEL"
Assam,Nagaon,2018-08-27,2018,08,17.95970845,"NRSC VIC MODEL"
Assam,Nagaon,2018-08-31,2018,08,9.303131937,"NRSC VIC MODEL"
Assam,Nagaon,2018-08-29,2018,08,25.11998048,"NRSC VIC MODEL"
Assam,Nagaon,2018-09-08,2018,09,0.043850265,"NRSC VIC MODEL"
Assam,Nagaon,2018-09-14,2018,09,3.854715047,"NRSC VIC MODEL"
Assam,Nagaon,2018-09-29,2018,09,8.034070082,"NRSC VIC MODEL"
Assam,Nagaon,2018-10-02,2018,10,2.224167396,"NRSC VIC MODEL"
Assam,Nagaon,2018-10-03,2018,10,0.048591414,"NRSC VIC MODEL"
Assam,Nagaon,2018-10-05,2018,10,5.95799387,"NRSC VIC MODEL"
Assam,Nagaon,2018-10-09,2018,10,0,"NRSC VIC MODEL"
Assam,Nagaon,2018-10-14,2018,10,0.533711788,"NRSC VIC MODEL"
Assam,Nagaon,2018-10-25,2018,10,0,"NRSC VIC MODEL"
Assam,Nagaon,2018-11-01,2018,11,0,"NRSC VIC MODEL"
Assam,Nagaon,2018-11-03,2018,11,2.280235238,"NRSC VIC MODEL"
Assam,Nagaon,2018-11-07,2018,11,0,"NRSC VIC MODEL"
Assam,Nagaon,2018-11-09,2018,11,0,"NRSC VIC MODEL"
Assam,Nagaon,2018-11-11,2018,11,0,"NRSC VIC MODEL"
Assam,Nagaon,2018-11-12,2018,11,0,"NRSC VIC MODEL"
